typer;Grunntall;Smie;Kobber;Solv;Gull;Landsby;Provins;antall;forste score;siste score
Sm;0,5;-1;0.8128939608682183;0.6976632136796462;0.8158408800709509;0.5;0.9814183718823867;10;0.6175502994935265;0.4775344410739779
Ko;0.39378879519788057;0.5106852851027521;0.789577977336654;0.9366340366805297;0.28340021286456485;0.7891437599017951;0.33329320692127806;10;0.9464933793335384;0.9868769826274498
So;1,5;0.5693627088062211;0.01684497167053023;0.8220809977298752;0.5747010208011382;0.8474260046026312;0.4862313170208613;16;0.27342980280267326;0.6787301551608385
Gu;2;0.1140945145414094;0.34546858664870306;0.6482766051389719;0.545135864946263;1.0421869046400618;0.3119949672707546;1;0.5530302596199679;0.649067135980386
La;0,5;0.5;0.6812991598859468;0.13935331122117744;0.26913599408558886;-1;0.5394391264846465;1;0.5586268890287054;0.36986128078111036
Pr;3;0.4018195832051039;0.22914696303427584;0.4826804068336752;0.028217104490785738;0.7559255544031868;0.6330768467709396;8;0.4361946836030515;0.5781733325530701
