typer;Grunntall;Smie;Kobber;Solv;Gull;Landsby;Provins;antall;forste score;siste score
Sm;3;-1;0,812893961;0,697663214;0,81584088;0,5;0,981418372;10;0,617550299;0,477534441
Ko;0,393788795;0,510685285;0,789577977;0,936634037;0,283400213;0,78914376;0,333293207;10;0,946493379;0,986876983
So;0,261638323;0,569362709;0,016844972;0,822080998;0,574701021;0,847426005;0,486231317;16;0,273429803;0,678730155
Gu;1;0,114094515;0,345468587;0,648276605;0,545135865;1,042186905;0,311994967;1;0,55303026;0,649067136
La;3;0,5;0,68129916;0,139353311;0,269135994;-1;0,539439126;1;0,558626889;0,369861281
Pr;10;0,401819583;0,229146963;0,482680407;0,028217104;0,755925554;0,633076847;8;0,436194684;0,578173333
